 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 p_brand  |          p_type           | p_size | supplier_cnt 
 Brand#24 | SMALL ANODIZED COPPER     | 12     |            4
 Brand#24 | SMALL PLATED COPPER       | 16     |            4
 Brand#24 | SMALL PLATED TIN          | 10     |            4
 Brand#24 | STANDARD ANODIZED COPPER  | 24     |            4
 Brand#24 | STANDARD BRUSHED BRASS    | 14     |            4
 Brand#24 | STANDARD BRUSHED STEEL    | 14     |            4
 Brand#24 | STANDARD POLISHED NICKEL  | 14     |            4
 Brand#25 | LARGE PLATED STEEL        | 18     |            4
 Brand#25 | MEDIUM BRUSHED NICKEL     | 10     |            4
 Brand#25 | MEDIUM PLATED BRASS       | 22     |            4
 Brand#25 | MEDIUM PLATED NICKEL      | 20     |            4
 Brand#25 | SMALL ANODIZED COPPER     | 20     |            4
 Brand#25 | STANDARD ANODIZED BRASS   | 10     |            4
 Brand#25 | STANDARD ANODIZED COPPER  | 10     |            4
 Brand#25 | STANDARD ANODIZED COPPER  | 22     |            4
 Brand#31 | ECONOMY BRUSHED COPPER    | 24     |            4
 Brand#31 | LARGE PLATED NICKEL       | 14     |            4
 Brand#31 | LARGE PLATED TIN          | 10     |            4
 Brand#31 | SMALL BURNISHED COPPER    | 24     |            4
 Brand#31 | SMALL BURNISHED TIN       | 18     |            4
 Brand#31 | STANDARD ANODIZED NICKEL  | 20     |            4
 Brand#31 | STANDARD PLATED NICKEL    | 18     |            4
 Brand#31 | STANDARD PLATED STEEL     | 20     |            4
 Brand#32 | ECONOMY BURNISHED STEEL   | 16     |            4
 Brand#32 | ECONOMY POLISHED NICKEL   | 12     |            4
 Brand#32 | ECONOMY POLISHED TIN      | 20     |            4
 Brand#32 | LARGE ANODIZED STEEL      | 14     |            4
 Brand#32 | LARGE BRUSHED BRASS       | 24     |            4
 Brand#32 | MEDIUM BRUSHED STEEL      | 10     |            4
 Brand#32 | SMALL BRUSHED COPPER      | 12     |            4
 Brand#32 | SMALL BURNISHED STEEL     | 16     |            4
 Brand#32 | STANDARD BURNISHED NICKEL | 10     |            4
 Brand#32 | STANDARD POLISHED NICKEL  | 10     |            4
 Brand#33 | ECONOMY BURNISHED COPPER  | 14     |            4
 Brand#33 | ECONOMY POLISHED BRASS    | 14     |            4
 Brand#33 | ECONOMY POLISHED NICKEL   | 24     |            4
 Brand#33 | MEDIUM BRUSHED TIN        | 18     |            4
 Brand#33 | MEDIUM BURNISHED COPPER   | 14     |            4
 Brand#33 | MEDIUM PLATED STEEL       | 10     |            4
 Brand#33 | MEDIUM POLISHED NICKEL    | 18     |            4
 Brand#33 | SMALL ANODIZED COPPER     | 10     |            4
 Brand#33 | SMALL ANODIZED TIN        | 10     |            4
 Brand#33 | STANDARD POLISHED TIN     | 16     |            4
 Brand#34 | ECONOMY ANODIZED TIN      | 20     |            4
 Brand#34 | ECONOMY BRUSHED STEEL     | 16     |            4
 Brand#34 | ECONOMY BURNISHED BRASS   | 22     |            4
 Brand#34 | LARGE BURNISHED COPPER    | 22     |            4
 Brand#34 | LARGE BURNISHED TIN       | 20     |            4
 Brand#34 | LARGE PLATED STEEL        | 10     |            4
 Brand#34 | MEDIUM ANODIZED COPPER    | 22     |            4
 Brand#34 | MEDIUM ANODIZED TIN       | 20     |            4
 Brand#34 | MEDIUM BRUSHED BRASS      | 20     |            4
 Brand#34 | MEDIUM BRUSHED TIN        | 14     |            4
 Brand#34 | MEDIUM BURNISHED TIN      | 20     |            4
 Brand#34 | SMALL PLATED BRASS        | 14     |            4
 Brand#34 | SMALL PLATED TIN          | 16     |            4
 Brand#35 | ECONOMY ANODIZED COPPER   | 10     |            4
 Brand#35 | ECONOMY ANODIZED STEEL    | 24     |            4
 Brand#35 | ECONOMY POLISHED NICKEL   | 12     |            4
 Brand#35 | LARGE PLATED BRASS        | 22     |            4
 Brand#35 | LARGE PLATED BRASS        | 24     |            4
 Brand#35 | LARGE PLATED COPPER       | 18     |            4
 Brand#35 | MEDIUM BURNISHED TIN      | 24     |            4
 Brand#35 | SMALL ANODIZED NICKEL     | 12     |            4
 Brand#35 | SMALL POLISHED BRASS      | 18     |            4
 Brand#35 | STANDARD ANODIZED NICKEL  | 14     |            4
 Brand#35 | STANDARD PLATED STEEL     | 14     |            4
 Brand#41 | LARGE BURNISHED TIN       | 22     |            4
 Brand#41 | MEDIUM ANODIZED COPPER    | 18     |            4
 Brand#41 | MEDIUM BURNISHED STEEL    | 24     |            4
 Brand#41 | MEDIUM PLATED TIN         | 18     |            4
 Brand#41 | MEDIUM POLISHED BRASS     | 14     |            4
 Brand#41 | SMALL BRUSHED NICKEL      | 22     |            4
 Brand#41 | SMALL PLATED STEEL        | 18     |            4
 Brand#41 | SMALL POLISHED COPPER     | 14     |            4
 Brand#41 | SMALL POLISHED TIN        | 10     |            4
 Brand#41 | STANDARD ANODIZED STEEL   | 12     |            4
 Brand#41 | STANDARD BRUSHED BRASS    | 10     |            4
 Brand#41 | STANDARD BURNISHED STEEL  | 10     |            4
 Brand#41 | STANDARD POLISHED TIN     | 22     |            4
 Brand#42 | ECONOMY BRUSHED COPPER    | 14     |            4
 Brand#42 | ECONOMY BURNISHED BRASS   | 16     |            4
 Brand#42 | LARGE POLISHED BRASS      | 10     |            4
 Brand#42 | LARGE POLISHED BRASS      | 20     |            4
 Brand#42 | MEDIUM BRUSHED BRASS      | 20     |            4
 Brand#42 | SMALL POLISHED BRASS      | 12     |            4
 Brand#42 | SMALL POLISHED STEEL      | 18     |            4
 Brand#42 | SMALL POLISHED TIN        | 24     |            4
 Brand#42 | STANDARD POLISHED NICKEL  | 16     |            4
 Brand#43 | ECONOMY BRUSHED BRASS     | 12     |            4
 Brand#43 | ECONOMY BRUSHED STEEL     | 16     |            4
 Brand#43 | ECONOMY BRUSHED STEEL     | 20     |            4
 Brand#43 | LARGE PLATED COPPER       | 10     |            4
 Brand#43 | LARGE PLATED COPPER       | 22     |            4
 Brand#43 | LARGE PLATED TIN          | 24     |            4
 Brand#43 | MEDIUM ANODIZED BRASS     | 14     |            4
 Brand#43 | MEDIUM ANODIZED COPPER    | 20     |            4
 Brand#43 | SMALL ANODIZED BRASS      | 20     |            4
 Brand#43 | SMALL ANODIZED COPPER     | 16     |            4
 Brand#43 | SMALL BRUSHED TIN         | 10     |            4
 Brand#43 | SMALL BRUSHED TIN         | 16     |            4
 Brand#43 | SMALL BURNISHED STEEL     | 12     |            4
 Brand#43 | SMALL POLISHED NICKEL     | 12     |            4
 Brand#43 | STANDARD ANODIZED COPPER  | 18     |            4
 Brand#43 | STANDARD BRUSHED COPPER   | 20     |            4
 Brand#43 | STANDARD BRUSHED COPPER   | 24     |            4
 Brand#43 | STANDARD PLATED TIN       | 14     |            4
 Brand#44 | ECONOMY BRUSHED STEEL     | 12     |            4
 Brand#44 | ECONOMY PLATED STEEL      | 12     |            4
 Brand#44 | MEDIUM PLATED COPPER      | 14     |            4
 Brand#44 | MEDIUM PLATED TIN         | 10     |            4
 Brand#44 | MEDIUM PLATED TIN         | 18     |            4
 Brand#44 | SMALL PLATED NICKEL       | 12     |            4
 Brand#44 | STANDARD BURNISHED BRASS  | 10     |            4
 Brand#44 | STANDARD BURNISHED COPPER | 16     |            4
 Brand#44 | STANDARD PLATED STEEL     | 16     |            4
 Brand#45 | ECONOMY BURNISHED NICKEL  | 22     |            4
 Brand#45 | LARGE ANODIZED BRASS      | 16     |            4
 Brand#45 | LARGE BURNISHED BRASS     | 14     |            4
 Brand#45 | LARGE PLATED STEEL        | 22     |            4
 Brand#45 | MEDIUM ANODIZED NICKEL    | 16     |            4
 Brand#45 | STANDARD ANODIZED COPPER  | 10     |            4
 Brand#45 | STANDARD POLISHED STEEL   | 24     |            4
 Brand#51 | ECONOMY BURNISHED BRASS   | 10     |            4
 Brand#51 | ECONOMY BURNISHED COPPER  | 20     |            4
 Brand#51 | MEDIUM ANODIZED TIN       | 14     |            4
 Brand#51 | SMALL ANODIZED COPPER     | 20     |            4
 Brand#51 | SMALL ANODIZED TIN        | 18     |            4
 Brand#51 | SMALL POLISHED NICKEL     | 10     |            4
 Brand#51 | STANDARD BURNISHED STEEL  | 10     |            4
 Brand#51 | STANDARD PLATED STEEL     | 20     |            4
 Brand#51 | STANDARD POLISHED COPPER  | 20     |            4
 Brand#52 | ECONOMY ANODIZED BRASS    | 14     |            4
 Brand#52 | ECONOMY POLISHED COPPER   | 10     |            4
 Brand#52 | ECONOMY POLISHED NICKEL   | 16     |            4
 Brand#52 | LARGE ANODIZED TIN        | 12     |            4
 Brand#52 | MEDIUM PLATED NICKEL      | 16     |            4
 Brand#52 | MEDIUM PLATED NICKEL      | 22     |            4
 Brand#52 | MEDIUM PLATED STEEL       | 20     |            4
 Brand#52 | SMALL ANODIZED COPPER     | 18     |            4
 Brand#52 | SMALL BURNISHED NICKEL    | 14     |            4
 Brand#52 | STANDARD ANODIZED BRASS   | 22     |            4
 Brand#52 | STANDARD ANODIZED TIN     | 10     |            4
 Brand#52 | STANDARD BRUSHED TIN      | 12     |            4
 Brand#52 | STANDARD POLISHED STEEL   | 24     |            4
 Brand#53 | ECONOMY ANODIZED COPPER   | 24     |            4
 Brand#53 | MEDIUM BURNISHED STEEL    | 10     |            4
 Brand#53 | MEDIUM POLISHED STEEL     | 16     |            4
 Brand#53 | SMALL ANODIZED STEEL      | 10     |            4
 Brand#53 | SMALL BURNISHED TIN       | 12     |            4
 Brand#53 | STANDARD BRUSHED TIN      | 10     |            4
 Brand#53 | STANDARD BURNISHED COPPER | 22     |            4
 Brand#54 | ECONOMY ANODIZED COPPER   | 10     |            4
 Brand#54 | ECONOMY ANODIZED NICKEL   | 12     |            4
 Brand#54 | ECONOMY POLISHED NICKEL   | 22     |            4
 Brand#54 | LARGE ANODIZED NICKEL     | 12     |            4
 Brand#54 | LARGE BRUSHED NICKEL      | 18     |            4
 Brand#54 | LARGE BURNISHED COPPER    | 22     |            4
 Brand#54 | LARGE BURNISHED TIN       | 10     |            4
 Brand#54 | LARGE BURNISHED TIN       | 14     |            4
 Brand#54 | LARGE POLISHED NICKEL     | 12     |            4
 Brand#54 | MEDIUM ANODIZED NICKEL    | 10     |            4
 Brand#54 | MEDIUM BRUSHED BRASS      | 18     |            4
 Brand#54 | MEDIUM POLISHED BRASS     | 22     |            4
 Brand#54 | SMALL ANODIZED COPPER     | 24     |            4
 Brand#54 | SMALL BURNISHED NICKEL    | 18     |            4
 Brand#54 | SMALL PLATED TIN          | 14     |            4
 Brand#54 | STANDARD ANODIZED BRASS   | 18     |            4
 Brand#54 | STANDARD ANODIZED BRASS   | 22     |            4
 Brand#55 | ECONOMY POLISHED BRASS    | 24     |            4
 Brand#55 | MEDIUM PLATED COPPER      | 18     |            4
 Brand#55 | SMALL BURNISHED COPPER    | 16     |            4
 Brand#55 | SMALL POLISHED BRASS      | 10     |            4
 Brand#55 | STANDARD ANODIZED NICKEL  | 24     |            4
 Brand#55 | STANDARD ANODIZED STEEL   | 10     |            4
 Brand#55 | STANDARD BURNISHED TIN    | 10     |            4
 Brand#55 | STANDARD PLATED TIN       | 24     |            4
 Brand#55 | STANDARD POLISHED BRASS   | 10     |            4
(260 rows)

Time: 24.944 ms
