 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
     nation     | o_year |   sum_profit    
 INDONESIA      | 1995   | -2459725.000000
 INDONESIA      | 1994   | -2748758.000000
 INDONESIA      | 1993   | -2099433.000000
 INDONESIA      | 1992   | -2254163.000000
 IRAN           | 1998   | -1175296.000000
 IRAN           | 1997   | -1753778.000000
 IRAN           | 1996   | -1809367.000000
 IRAN           | 1995   | -1824899.000000
 IRAN           | 1994   | -2182738.000000
 IRAN           | 1993   | -2036474.000000
 IRAN           | 1992   | -1450516.000000
 IRAQ           | 1998   | -1432130.000000
 IRAQ           | 1997   | -2475349.000000
 IRAQ           | 1996   | -2204595.000000
 IRAQ           | 1995   | -2669160.000000
 IRAQ           | 1994   | -2193445.000000
 IRAQ           | 1993   | -2263237.000000
 IRAQ           | 1992   | -2174892.000000
 JAPAN          | 1998   | -1831691.000000
 JAPAN          | 1997   | -2263330.000000
 JAPAN          | 1996   | -2218390.000000
 JAPAN          | 1995   | -2247158.000000
 JAPAN          | 1994   | -2189701.000000
 JAPAN          | 1993   | -1942344.000000
 JAPAN          | 1992   | -1994216.000000
 JORDAN         | 1998   | -955506.000000
 JORDAN         | 1997   | -1463852.000000
 JORDAN         | 1996   | -1774703.000000
 JORDAN         | 1995   | -1253826.000000
 JORDAN         | 1994   | -1497414.000000
 JORDAN         | 1993   | -1156171.000000
 JORDAN         | 1992   | -1144261.000000
 KENYA          | 1998   | -1360132.000000
 KENYA          | 1997   | -2150356.000000
 KENYA          | 1996   | -1814850.000000
 KENYA          | 1995   | -1734351.000000
 KENYA          | 1994   | -1768241.000000
 KENYA          | 1993   | -1657984.000000
 KENYA          | 1992   | -1647747.000000
 MOROCCO        | 1998   | -1110079.000000
 MOROCCO        | 1997   | -1753824.000000
 MOROCCO        | 1996   | -1781807.000000
 MOROCCO        | 1995   | -1821939.000000
 MOROCCO        | 1994   | -2028926.000000
 MOROCCO        | 1993   | -1738423.000000
 MOROCCO        | 1992   | -1873138.000000
 MOZAMBIQUE     | 1998   | -901168.000000
 MOZAMBIQUE     | 1997   | -1814761.000000
 MOZAMBIQUE     | 1996   | -1368135.000000
 MOZAMBIQUE     | 1995   | -1386175.000000
 MOZAMBIQUE     | 1994   | -1681516.000000
 MOZAMBIQUE     | 1993   | -1824993.000000
 MOZAMBIQUE     | 1992   | -1736140.000000
 PERU           | 1998   | -446940.000000
 PERU           | 1997   | -1448401.000000
 PERU           | 1996   | -1770757.000000
 PERU           | 1995   | -1644138.000000
 PERU           | 1994   | -1778531.000000
 PERU           | 1993   | -1225914.000000
 PERU           | 1992   | -1021372.000000
 ROMANIA        | 1998   | -877072.000000
 ROMANIA        | 1997   | -1528322.000000
 ROMANIA        | 1996   | -1361763.000000
 ROMANIA        | 1995   | -1998612.000000
 ROMANIA        | 1994   | -1196270.000000
 ROMANIA        | 1993   | -1581483.000000
 ROMANIA        | 1992   | -1610787.000000
 RUSSIA         | 1998   | -1471700.000000
 RUSSIA         | 1997   | -2177317.000000
 RUSSIA         | 1996   | -2602147.000000
 RUSSIA         | 1995   | -2639688.000000
 RUSSIA         | 1994   | -2382409.000000
 RUSSIA         | 1993   | -2339031.000000
 RUSSIA         | 1992   | -1943649.000000
 SAUDI ARABIA   | 1998   | -1471511.000000
 SAUDI ARABIA   | 1997   | -2117779.000000
 SAUDI ARABIA   | 1996   | -2707001.000000
 SAUDI ARABIA   | 1995   | -2010786.000000
 SAUDI ARABIA   | 1994   | -2478532.000000
 SAUDI ARABIA   | 1993   | -2360775.000000
 SAUDI ARABIA   | 1992   | -2461794.000000
 UNITED KINGDOM | 1998   | -1017003.000000
 UNITED KINGDOM | 1997   | -1619234.000000
 UNITED KINGDOM | 1996   | -1774752.000000
 UNITED KINGDOM | 1995   | -1853905.000000
 UNITED KINGDOM | 1994   | -1473990.000000
 UNITED KINGDOM | 1993   | -1405797.000000
 UNITED KINGDOM | 1992   | -1710011.000000
 UNITED STATES  | 1998   | -1221310.000000
 UNITED STATES  | 1997   | -1879161.000000
 UNITED STATES  | 1996   | -2028635.000000
 UNITED STATES  | 1995   | -1937007.000000
 UNITED STATES  | 1994   | -1901199.000000
 UNITED STATES  | 1993   | -1424038.000000
 UNITED STATES  | 1992   | -1415244.000000
 VIETNAM        | 1998   | -1361662.000000
 VIETNAM        | 1997   | -1650897.000000
 VIETNAM        | 1996   | -2146129.000000
 VIETNAM        | 1995   | -1452249.000000
 VIETNAM        | 1994   | -1517275.000000
 VIETNAM        | 1993   | -1648339.000000
 VIETNAM        | 1992   | -1726453.000000
(175 rows)

Time: 600.665 ms
